roi,mean,p
roi_001,0.021074653,0.604283957
roi_002,0.052422963,0.220457795
roi_003,0.031445177,0.466305337
roi_004,0.043719414,0.243917561
roi_005,0.090705164,0.0100299
roi_006,0.152188742,0.01401986
roi_007,0.04446567,0.320486795
roi_008,0.07733281,0.144478555
roi_009,0.056948454,0.301186988
roi_010,0.031531395,0.496265037
roi_011,0.036612276,0.417295827
roi_012,0.075162502,0.146578534
roi_013,0.073466011,0.086699133
roi_014,0.087974011,0.125458745
roi_015,0.031884553,0.471425286
roi_016,0.069589262,0.153528465
roi_017,0.074722421,0.116468835
roi_018,0.114389428,0.029639704
roi_019,0.038260117,0.37800622
roi_020,0.111671088,0.041589584
roi_021,0.092877912,0.081119189
roi_022,0.120148283,0.0199798
roi_023,0.012094742,0.78801212
roi_024,0.096641273,0.03698963
roi_025,0.047915608,0.274277257
roi_026,0.066630509,0.128278717
roi_027,0.079951751,0.066479335
roi_028,0.016789107,0.666283337
roi_029,0.1125185,0.020209798
roi_030,0.097674156,0.033739663
roi_031,0.025009157,0.517204828
roi_032,0.08809491,0.047499525
roi_033,0.045914359,0.277117229
roi_034,0.073268438,0.091449086
roi_035,0.047075727,0.22703773
roi_036,0.096734003,0.078749213
roi_037,0.055636771,0.185248148
roi_038,0.107131104,0.023709763
roi_039,0.098669361,0.080799192
roi_040,0.057215996,0.238537615
roi_041,0.082443526,0.125528745
roi_042,0.041892568,0.330316697
roi_043,0.088270527,0.043419566
roi_044,0.045566241,0.34102659
roi_045,0.122298762,0.026289737
roi_046,0.114388182,0.014659853
roi_047,0.009149572,0.859051409
roi_048,0.062115864,0.203847962
roi_049,0.094330197,0.100108999
roi_050,0.051454478,0.315076849
roi_051,-0.03384049,0.424255757
roi_052,-0.002066446,0.968230318
roi_053,0.112880293,0.042169578
roi_054,0.012841271,0.749362506
roi_055,0.081212454,0.093749063
roi_056,0.061609432,0.082469175
roi_057,0.086214787,0.085719143
roi_058,0.063690296,0.184098159
roi_059,0.044279948,0.3799662
roi_060,0.075021177,0.027439726
roi_061,0.091230483,0.025069749
roi_062,0.100557012,0.030279697
roi_063,0.090612607,0.097479025
roi_064,0.047375985,0.22204778
roi_065,0.068789679,0.106418936
roi_066,0.094872117,0.050759492
roi_067,0.056041144,0.267227328
roi_068,-0.076332603,0.045449546
roi_069,0.040830442,0.362366376
roi_070,0.021546158,0.671643284
roi_071,0.065372853,0.171238288
roi_072,0.03637022,0.379926201
roi_073,0.135248718,0.009759902
roi_074,0.075500453,0.089379106
roi_075,0.031202227,0.545424546
roi_076,0.048818378,0.234377656
roi_077,0.087011913,0.09403906
roi_078,0.02075596,0.604673953
roi_079,0.03485014,0.439085609
roi_080,0.088199227,0.079289207
roi_081,0.089260153,0.054559454
roi_082,0.097750254,0.073459265
roi_083,0.078573735,0.109708903
roi_084,0.123874395,0.006509935
roi_085,-0.010028943,0.816411836
roi_086,0.060039882,0.226857731
roi_087,0.055249361,0.285317147
roi_088,0.015734717,0.731862681
roi_089,0.093337423,0.042509575
roi_090,0.10533723,0.070239298
roi_091,0.003582224,0.94096059
roi_092,0.001192748,0.981710183
roi_093,0.146964665,0.0099599
roi_094,0.029640863,0.465585344
roi_095,0.060365555,0.260497395
roi_096,0.081497812,0.075759242
roi_097,0.08209142,0.057469425
roi_098,0.228285435,4.00E-05
roi_099,0.010598599,0.828161718
roi_100,-0.034214317,0.39203608
roi_101,0.087126046,0.019749803
roi_102,-0.033552994,0.490785092
roi_103,0.060144228,0.181818182
roi_104,0.145216104,0.001589984
roi_105,0.008278598,0.839641604
roi_106,0.136089998,0.013589864
roi_107,0.037515331,0.343196568
roi_108,0.113439421,0.025129749
roi_109,0.077980779,0.168138319
roi_110,0.071978034,0.116458835
roi_111,0.078383241,0.069439306
roi_112,0.041882053,0.456385436
roi_113,-0.015606368,0.731932681
roi_114,0.055118718,0.18799812
roi_115,-0.002923682,0.954770452
roi_116,0.036860711,0.464815352
roi_117,0.082818117,0.028419716
roi_118,0.096425162,0.051479485
roi_119,0.022897104,0.57502425
roi_120,0.077151725,0.086649134
roi_121,0.069792041,0.130098699
roi_122,0.015440496,0.728122719
roi_123,0.074277503,0.214377856
roi_124,0.045881112,0.324376756
roi_125,0.058135701,0.240157598
roi_126,0.105626756,0.038179618
roi_127,0.059730099,0.272887271
roi_128,0.055720612,0.296607034
roi_129,0.065564941,0.181568184
roi_130,0.043607585,0.378156218
roi_131,0.098564769,0.079329207
roi_132,0.005550523,0.898061019
roi_133,0.008945694,0.864751352
roi_134,0.082391595,0.121798782
roi_135,0.045356488,0.341126589
roi_136,0.057254291,0.22799772
roi_137,0.154465971,0.00801992
roi_138,0.080252728,0.082429176
roi_139,0.054821285,0.223847762
roi_140,0.056357906,0.250287497
roi_141,0.052102705,0.260617394
roi_142,0.089969167,0.073129269
roi_143,0.040328668,0.373266267
roi_144,0.005785209,0.90498095
roi_145,0.029584528,0.541714583
roi_146,0.041151089,0.438165618
roi_147,0.145902676,0.004319957
roi_148,0.145653645,0.007229928
roi_149,0.063776366,0.154748453
roi_150,0.089358819,0.046119539
roi_151,-0.005311539,0.903830962
roi_152,0.011911271,0.799652003
roi_153,0.030505914,0.510634894
roi_154,0.018610262,0.720802792
roi_155,-0.014934402,0.736732633
roi_156,0.046443162,0.262267377
roi_157,0.028628991,0.531124689
roi_158,0.127613009,0.016389836
roi_159,0.04490401,0.419175808
roi_160,0.032945905,0.49395506
roi_161,0.058716633,0.251717483
roi_162,0.154144546,0.000759992
roi_163,0.093844485,0.019459805
roi_164,0.066997226,0.231537685
roi_165,0.024751368,0.559224408
roi_166,0.01139779,0.811261887
roi_167,0.087595193,0.055519445
roi_168,0.054985946,0.203947961
roi_169,0.055588161,0.201447986
roi_170,0.029974173,0.542714573
roi_171,0.022503857,0.597124029
roi_172,0.097096628,0.039139609
roi_173,0.088401951,0.067859321
roi_174,0.07463907,0.117508825
roi_175,0.045198591,0.313596864
roi_176,0.059369767,0.199238008
roi_177,0.127044475,0.019929801
roi_178,0.035995138,0.448835512
roi_179,0.070272263,0.209067909
roi_180,0.047630983,0.34703653
roi_181,0.043173875,0.34097659
roi_182,0.051372228,0.276617234
roi_183,0.075985587,0.150388496
roi_184,0.009724063,0.81304187
roi_185,0.049969544,0.333166668
roi_186,0.017646182,0.684253157
roi_187,0.10098438,0.068209318
roi_188,0.077870073,0.115268847
roi_189,0.033291282,0.46902531
roi_190,-0.083135224,0.028259717
roi_191,-0.024359792,0.533884661
roi_192,-0.004539953,0.928170718
roi_193,0.058599387,0.252077479
roi_194,0.046844913,0.319726803
roi_195,-0.008076527,0.870791292
roi_196,0.045606868,0.295707043
roi_197,0.135040018,0.012089879
roi_198,0.035546413,0.47495525
roi_199,0.066265526,0.19600804
roi_200,0.086953113,0.093819062
