ROI,mean,p
roi_001,0.032427894,0.042169578
roi_002,0.075025986,2.00E-05
roi_003,0.047842918,0.002729973
roi_004,-0.002764642,0.826081739
roi_005,0.099278616,1.00E-05
roi_006,0.046920518,0.009449906
roi_007,0.031000037,0.030129699
roi_008,0.025260071,0.094139059
roi_009,0.021881248,0.320166798
roi_010,-0.00774294,0.575924241
roi_011,0.025777979,0.08902911
roi_012,0.018738505,0.257777422
roi_013,0.008604069,0.559764402
roi_014,0.056632655,0.001509985
roi_015,0.04070412,0.013679863
roi_016,0.030686118,0.04503955
roi_017,0.032922275,0.019469805
roi_018,0.087825321,1.00E-05
roi_019,0.026297185,0.115098849
roi_020,-0.00248815,0.868091319
roi_021,0.032189762,0.069319307
roi_022,0.036705169,0.058879411
roi_023,0.044197026,0.007089929
roi_024,0.05997262,0.000829992
roi_025,0.04092093,0.028189718
roi_026,0.051895443,0.003349967
roi_027,0.090457726,3.00E-05
roi_028,0.054602966,0.00101999
roi_029,0.047219545,0.010809892
roi_030,0.056093669,0.000749993
roi_031,0.047138335,0.002419976
roi_032,0.042481754,0.016309837
roi_033,0.048073995,0.018109819
roi_034,0.06250262,0.000729993
roi_035,0.04764065,0.000679993
roi_036,0.054799001,0.000619994
roi_037,0.091631466,0.000119999
roi_038,0.021584655,0.251697483
roi_039,0.039754749,0.091109089
roi_040,0.061367395,0.000549995
roi_041,0.046413296,0.036329637
roi_042,0.020254929,0.203157968
roi_043,0.041951821,0.004099959
roi_044,0.017534729,0.263357366
roi_045,0.035634905,0.019599804
roi_046,0.048435597,0.015579844
roi_047,0.026938436,0.142208578
roi_048,0.042094455,0.035219648
roi_049,0.052820141,0.001629984
roi_050,-0.007387943,0.617373826
roi_051,0.008757239,0.611643884
roi_052,0.008743149,0.615423846
roi_053,0.075127734,0.000419996
roi_054,0.043766012,0.004709953
roi_055,0.036441632,0.04803952
roi_056,0.073442302,0.000399996
roi_057,0.065799478,2.00E-05
roi_058,0.015702019,0.4700353
roi_059,0.062435108,0.000859991
roi_060,0.067742506,4.00E-05
roi_061,0.042457266,0.011639884
roi_062,0.047326812,0.000699993
roi_063,0.036643519,0.028359716
roi_064,0.048040148,0.005909941
roi_065,0.04563886,0.004879951
roi_066,0.066058362,1.00E-05
roi_067,0.021260454,0.257827422
roi_068,0.036683477,0.019409806
roi_069,0.020344125,0.260417396
roi_070,0.0328244,0.043159568
roi_071,0.012363069,0.432525675
roi_072,0.030262201,0.042319577
roi_073,0.078318122,0.000619994
roi_074,0.048784186,0.001119989
roi_075,0.041084845,0.026409736
roi_076,0.006445881,0.637133629
roi_077,0.044872829,0.003609964
roi_078,0.059296417,0.003619964
roi_079,0.026777658,0.201417986
roi_080,0.06201728,0.000189998
roi_081,0.031221225,0.094079059
roi_082,0.008270994,0.642833572
roi_083,0.109740282,1.00E-05
roi_084,0.042391335,0.009319907
roi_085,0.001071634,0.946490535
roi_086,0.036368573,0.012329877
roi_087,0.0129851,0.394556054
roi_088,0.024526509,0.074069259
roi_089,0.065296157,0.000249998
roi_090,0.077095997,0.000459995
roi_091,0.060157896,0.000419996
roi_092,0.018685667,0.243207568
roi_093,0.065593804,0.000659993
roi_094,0.019254234,0.221207788
roi_095,0.031040421,0.087179128
roi_096,0.062953569,0.00098999
roi_097,0.006281387,0.665163348
roi_098,0.096486624,1.00E-05
roi_099,0.028404505,0.117398826
roi_100,0.042803391,0.024539755
roi_101,0.057229801,0.001829982
roi_102,-0.016676913,0.225297747
roi_103,0.009138153,0.610253897
roi_104,0.117960191,1.00E-05
roi_105,0.056156812,0.008259917
roi_106,0.047920538,0.005559944
roi_107,0.021585032,0.194098059
roi_108,0.074951123,0.000349997
roi_109,0.027582704,0.090709093
roi_110,0.027573808,0.088149119
roi_111,0.05750248,0.007499925
roi_112,0.028678139,0.053059469
roi_113,0.019709216,0.208297917
roi_114,0.073354109,0.000189998
roi_115,-0.011085678,0.492655073
roi_116,0.027982773,0.108158918
roi_117,0.078274348,2.00E-05
roi_118,0.006245961,0.697823022
roi_119,0.02776043,0.087469125
roi_120,0.06983039,0.000249998
roi_121,0.073665395,0.001149989
roi_122,0.033849711,0.061559384
roi_123,0.027526167,0.084169158
roi_124,0.018864295,0.227597724
roi_125,0.063008712,0.000269997
roi_126,0.050673393,0.009829902
roi_127,0.047209945,0.012669873
