roi,mean,p
roi_001,0.060760498,0.007139929
roi_002,0.03789718,0.080389196
roi_003,0.073625523,0.000699993
roi_004,0.098479775,0.001269987
roi_005,0.013823672,0.470415296
roi_006,0.100877226,4.00E-05
roi_007,0.035146583,0.135168648
roi_008,0.063914174,0.000799992
roi_009,0.081568857,8.00E-05
roi_010,0.075808887,0.00501995
roi_011,0.109420108,1.00E-04
roi_012,0.087401783,3.00E-05
roi_013,0.093184617,3.00E-05
roi_014,0.038265342,0.106938931
roi_015,0.007952237,0.596444036
roi_016,0.069782673,0.000839992
roi_017,0.101236016,1.00E-05
roi_018,0.018593827,0.403685963
roi_019,0.069332186,0.011099889
roi_020,0.052523819,0.02402976
roi_021,0.04521062,0.020209798
roi_022,0.051430415,0.004369956
roi_023,0.041925,0.079269207
roi_024,-0.019214344,0.394126059
roi_025,0.081978523,0.000859991
roi_026,0.057971742,0.014169858
roi_027,0.0053963,0.781122189
roi_028,-0.002888057,0.888361116
roi_029,0.04812878,0.071709283
roi_030,0.03424253,0.057079429
roi_031,0.065118436,0.010119899
roi_032,0.038783252,0.059109409
roi_033,0.03306188,0.12804872
roi_034,0.074152487,0.000509995
roi_035,0.065127423,0.023689763
roi_036,0.061898753,0.008549915
roi_037,0.001828654,0.920850791
roi_038,0.049544061,0.043779562
roi_039,0.072607705,0.000719993
roi_040,0.037351578,0.087949121
roi_041,0.048242897,0.033519665
roi_042,0.105988207,0.000129999
roi_043,0.108209175,1.00E-04
roi_044,0.122925533,1.00E-05
roi_045,0.070671045,0.00401996
roi_046,0.046208905,0.012739873
roi_047,0.053229326,0.007159928
roi_048,0.056217247,0.006369936
roi_049,0.041965721,0.046609534
roi_050,0.057260433,0.007109929
roi_051,0.044906407,0.037479625
roi_052,0.101495663,1.00E-05
roi_053,0.033077125,0.105258947
roi_054,0.029467873,0.09902901
roi_055,0.059836323,0.002899971
roi_056,-0.011630796,0.610203898
roi_057,0.030593902,0.299887001
roi_058,0.106472003,4.00E-05
roi_059,0.001785682,0.919050809
roi_060,0.06012597,0.004569954
roi_061,0.082221757,0.000579994
roi_062,0.026645229,0.297757022
roi_063,0.12374083,8.00E-05
roi_064,0.038131576,0.091269087
roi_065,0.014822137,0.468435316
roi_066,-0.022627014,0.23300767
roi_067,0.100121217,0.000239998
roi_068,0.066959561,0.003269967
roi_069,0.062275857,0.009569904
roi_070,0.085182195,0.000289997
roi_071,0.083093429,0.002639974
roi_072,0.072236756,0.012579874
roi_073,0.024938261,0.184848152
roi_074,0.028590931,0.134838652
roi_075,0.043866505,0.091489085
roi_076,0.068221604,0.001749983
roi_077,0.067956127,0.005419946
roi_078,0.051653459,0.006159938
roi_079,0.030465722,0.10196898
roi_080,0.06902512,0.002319977
roi_081,0.063632213,0.002859971
roi_082,0.055215183,0.021159788
roi_083,0.017524914,0.404165958
roi_084,0.024410778,0.224737753
roi_085,0.087762759,0.000609994
roi_086,0.04876619,0.073459265
roi_087,0.065403502,0.009389906
roi_088,0.04350176,0.063899361
roi_089,0.085832571,0.000309997
roi_090,0.026896293,0.268367316
roi_091,0.02262484,0.325566744
roi_092,0.075990472,0.001079989
roi_093,0.040850197,0.056109439
roi_094,0.091965792,0.001929981
roi_095,0.106698673,5.00E-05
roi_096,0.025208824,0.216577834
roi_097,0.109473739,2.00E-05
roi_098,-0.014307266,0.471455285
roi_099,0.03694776,0.087659123
roi_100,0.009367543,0.667723323
roi_101,0.005047708,0.798242018
roi_102,0.094363099,0.002829972
roi_103,0.084029013,0.000609994
roi_104,0.015330548,0.481695183
roi_105,0.027245785,0.159368406
roi_106,0.075035125,0.000869991
roi_107,0.066591562,0.00404996
roi_108,0.003795153,0.852561474
roi_109,0.091045263,3.00E-05
roi_110,0.082401782,7.00E-05
roi_111,0.039002864,0.066429336
roi_112,0.044725764,0.028319717
roi_113,0.0813322,0.000119999
roi_114,0.077249064,0.001829982
roi_115,0.033478019,0.144868551
roi_116,0.01292375,0.487585124
roi_117,0.074023849,0.003709963
roi_118,0.08860732,0.000529995
roi_119,0.102146186,4.00E-05
roi_120,-0.000449324,0.98202018
roi_121,0.016125657,0.386696133
roi_122,0.143283123,1.00E-05
roi_123,0.061493895,0.007369926
roi_124,0.066042124,0.007149929
roi_125,0.05444259,0.016259837
roi_126,0.070081686,0.001829982
roi_127,0.047742978,0.030199698
roi_128,0.092736217,0.000129999
roi_129,0.019265647,0.325936741
roi_130,0.074435231,0.000499995
roi_131,0.083529115,0.000719993
roi_132,0.047181419,0.064699353
roi_133,0.007627647,0.696803032
roi_134,0.049849704,0.008549915
roi_135,0.071118156,0.004079959
roi_136,0.013586641,0.482875171
roi_137,0.088980544,0.000359996
roi_138,0.107986833,0.000339997
roi_139,0.052632937,0.03196968
roi_140,0.075106464,0.005239948
roi_141,0.063999828,0.005369946
roi_142,0.041164143,0.071599284
roi_143,0.105641555,1.00E-05
roi_144,0.023018961,0.193188068
roi_145,0.097714726,0.000169998
roi_146,0.089294997,6.00E-05
roi_147,0.036816141,0.085689143
roi_148,0.023692349,0.236447636
roi_149,0.022028084,0.282477175
roi_150,0.03209309,0.171288287
roi_151,0.029341552,0.148428516
roi_152,0.088836393,0.00203998
roi_153,-0.006350372,0.744332557
roi_154,0.058479389,0.008339917
roi_155,0.018056944,0.364456355
roi_156,0.050682993,0.030139699
roi_157,0.049984798,0.040589594
roi_158,0.075504191,0.003299967
roi_159,0.050925239,0.020859791
roi_160,0.054520461,0.00596994
roi_161,0.081113665,0.000239998
roi_162,0.047657828,0.041579584
roi_163,0.075999707,0.002639974
roi_164,0.098773289,2.00E-05
roi_165,0.064365986,0.01602984
roi_166,0.066714062,0.014449856
roi_167,0.015354147,0.360786392
roi_168,0.115978655,1.00E-05
roi_169,0.088117659,0.003219968
roi_170,0.082557436,0.00097999
roi_171,0.049614294,0.010129899
roi_172,0.089612664,0.000179998
roi_173,0.114105281,2.00E-05
roi_174,0.122449383,4.00E-05
roi_175,0.055411636,0.011419886
roi_176,0.062447428,0.006859931
roi_177,0.087753855,0.000779992
roi_178,0.050989253,0.060939391
roi_179,0.113787939,1.00E-05
roi_180,0.03711247,0.072379276
roi_181,0.077335633,0.000229998
roi_182,0.08170337,0.000239998
roi_183,0.01820721,0.501654983
roi_184,0.049424099,0.028239718
roi_185,0.063665053,0.005859941
roi_186,0.039956337,0.059479405
roi_187,0.084614141,0.00095999
roi_188,0.043164046,0.062909371
roi_189,0.081489678,0.000409996
roi_190,0.053647754,0.019489805
roi_191,0.087599817,0.000599994
roi_192,0.087402632,0.000199998
roi_193,0.098770031,1.00E-04
roi_194,0.087455719,0.000219998
roi_195,0.064097642,0.006949931
roi_196,0.046831109,0.031169688
roi_197,0.09208437,0.005189948
roi_198,0.088413416,9.00E-05
roi_199,0.031824598,0.082809172
roi_200,0.058249183,0.006629934
